StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q59,Q60,QID99,Q6_1,Q9,Q52,Q53,Q54_NPS_GROUP,Q54,Q56_NPS_GROUP,Q56,Q57_NPS_GROUP,Q57,Q11,Q51_1,Q12_1,Q13_1,Q18_1,Q17_1,Q16_1,Q24_1,Q15_1,Q14_1,Q19_1,Q20_1,Q21_1,Q23_1,Q78,Q22_1,Q38,Q39_1,Q40_1,Q41_1,Q42_1,Q43_1,Q44_1,Q45_1,Q46_1,Q47_1,Q48_1,Q61_1,Q62_1,Q77,Q63_1,Q50,Q51_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57_1,Q58_1,Q59_1,Q60_1,Q64_1,Q65_1,Q75,Q66_1,Q64,Q61,Q62,Q63,order,order_label
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you agree to participate in this study?,"How many LLM assistant interfaces will you interact with, and what is different about them?",Prolific ID (Only required when accessing via prolific.com),What is your age? - Alter,What is your gender?,What is the highest level of education you have completed?,"How often do you use large language models (e.g. ChatGPT, Gemini)?",How experienced do you consider yourself in using LLMs? - Group,How experienced do you consider yourself in using LLMs?,How often have you experienced a language model giving incorrect or misleading answers - Group,How often have you experienced a language model giving incorrect or misleading answers,Do you generally trust the answers provided by large language models? - Group,Do you generally trust the answers provided by large language models?,Which uncertainty representation format did you experience?,"In order to prove that you are reading questions attentively, please select “Strongly agree” here - Choose:",I believe that the assistant would act in my best interest when communicating uncertainty - Choose:,"If I required help, the assistant would do its best to help me - Choose:","The assistant is interested in my well-being, not just its own - Choose:",The assistant is truthful in communicating uncertainty levels - Choose:,I would characterize the assistant as honest about its level of uncertainty - Choose:,The assistant would keep its commitments in providing uncertainty levels - Choose:,The assistant is competent and effective in providing uncertainty communication - Choose:,The assistant performs its role of giving uncertainty levels very well - Choose:,"Overall, the assistant is a capable and proficient assistant for uncertainty representation - Choose:","In general, the assistant is very knowledgeable about the provided uncertainty - Choose:",The way uncertainty was presented helps me to be more effective in evaluating and using the answer - Choose:,I am satisfied with this uncertainty representation - Choose:,Comments or suggestions,I learned to use/interpret the uncertainty representation quickly - Choose:,Which uncertainty representation format did you experience?,I believe that the assistant would act in my best interest when communicating uncertainty - Choose:,"If I required help, the assistant would do its best to help me - Choose:","The assistant is interested in my well-being, not just its own - Choose:",The assistant is truthful in communicating uncertainty levels - Choose:,I would characterize the assistant as honest about its level of uncertainty - Choose:,The assistant would keep its commitments in providing uncertainty levels - Choose:,The assistant is competent and effective in providing uncertainty communication - Choose:,The assistant performs its role of giving uncertainty levels very well - Choose:,"Overall, the assistant is a capable and proficient assistant for uncertainty representation - Choose:","In general, the assistant is very knowledgeable about the provided uncertainty - Choose:",The way uncertainty was presented helps me to be more effective in evaluating and using the answer - Choose:,I am satisfied with this uncertainty representation - Choose:,Comments or suggestions,I learned to use/interpret the uncertainty representation quickly - Choose:,Which uncertainty representation format did you experience?,I believe that the assistant would act in my best interest when communicating uncertainty - Choose:,"If I required help, the assistant would do its best to help me - Choose:","The assistant is interested in my well-being, not just its own - Choose:",The assistant is truthful in communicating uncertainty levels - Choose:,I would characterize the assistant as honest about its level of uncertainty - Choose:,The assistant would keep its commitments in providing uncertainty levels - Choose:,The assistant is competent and effective in providing uncertainty communication - Choose:,The assistant performs its role of giving uncertainty levels very well - Choose:,"Overall, the assistant is a capable and proficient assistant for uncertainty representation - Choose:","In general, the assistant is very knowledgeable about the provided uncertainty - Choose:",The way uncertainty was presented helps me to be more effective in evaluating and using the answer - Choose:,I am satisfied with this uncertainty representation - Choose:,Comments or suggestions,I learned to use/interpret the uncertainty representation quickly - Choose:,Would you like to have uncertainty indicators in LLM interfaces (ChatGPT/Gemini...)?,Which format would you prefer for everyday use in terms of usability and why?,Which format would you prefer for everyday use in terms of trustworthiness and why?,Does uncertainty representation make you more confident in using LLMs?,order,order_label
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_NPS_GROUP""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76_NPS_GROUP""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77_NPS_GROUP""}","{""ImportId"":""QID77""}","{""ImportId"":""QID11""}","{""ImportId"":""QID71_14""}","{""ImportId"":""QID12_14""}","{""ImportId"":""QID13_14""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID17_14""}","{""ImportId"":""QID16_14""}","{""ImportId"":""QID24_14""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID14_14""}","{""ImportId"":""QID19_14""}","{""ImportId"":""QID20_14""}","{""ImportId"":""QID21_14""}","{""ImportId"":""QID23_14""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID22_14""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_14""}","{""ImportId"":""QID40_14""}","{""ImportId"":""QID41_14""}","{""ImportId"":""QID42_14""}","{""ImportId"":""QID43_14""}","{""ImportId"":""QID44_14""}","{""ImportId"":""QID45_14""}","{""ImportId"":""QID46_14""}","{""ImportId"":""QID47_14""}","{""ImportId"":""QID48_14""}","{""ImportId"":""QID61_14""}","{""ImportId"":""QID62_14""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID63_14""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_14""}","{""ImportId"":""QID52_14""}","{""ImportId"":""QID53_14""}","{""ImportId"":""QID54_14""}","{""ImportId"":""QID55_14""}","{""ImportId"":""QID56_14""}","{""ImportId"":""QID57_14""}","{""ImportId"":""QID58_14""}","{""ImportId"":""QID59_14""}","{""ImportId"":""QID60_14""}","{""ImportId"":""QID64_14""}","{""ImportId"":""QID65_14""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID66_14""}","{""ImportId"":""QID84""}","{""ImportId"":""QID81_TEXT""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""order""}","{""ImportId"":""order_label""}"
2025-12-25 21:50:55,2025-12-25 22:15:36,IP Address,100,1480,True,2025-12-25 22:15:36,R_8rNxhnmcwViUEp7,anonymous,DE,"Yes, I agree",Three versions; the uncertainty is shown in different formats,,21,Male,High School,Daily,Promoter,9,Passive,7,Detractor,4,Verbal,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"Not clearly stated, how uncertain the LLM is, put in the answer in a rather ""hidden"" way. Aswell ""rather sure"" does not define clearly enough how sure this actually is.",Somewhat Agree,Numerical/Percentage,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,Agree,Visual/Colour,Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"It is very easy to understand, very intuitive and quick to interpret. However as it is not clear which direct uncertaincy (like with percentage) results in which color it is not transparent enough to understand wether orange for example means just not 100% certain or means merely 50%. Usage of more colors (dark green, light green, orange, yellow, red etc.) could be of use.",Strongly Agree,Yes,"Percentage format, as it is the easiest du see at a glance. You get a very good feel for how sure exactly it is and if the level of certaincy is enough for your current use case.","Aswell the percentage, as it cleary states in numbers (very transparent) how sure it is and there is no error in interpreting what the LLM means with its certaincy level.","Yes it does, as usually hallucination is a severe problem in LLMs, that dont have the feature to alert you of uncertaincy. However it makes less confident aswell as it shows how ""certain"" the answer sounds to find out later the LLM is only 30% sure of that. ",4,
2025-12-25 12:34:58,2025-12-25 12:49:58,IP Address,100,899,True,2025-12-25 12:49:58,R_2cBJ9lvEgaVsSof,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,5f2fc4d70200693ce9315c91,34,Male,Master's degree or higher,Daily,Detractor,6,Detractor,3,Detractor,6,Verbal,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,,Agree,Numerical/Percentage,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,,Somewhat Agree,Visual/Colour,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,,Somewhat Agree,Indifferent,I preferred the numeric one becuase it gave degrees of uncertainty,I prefer the numeric one because it gives degrees of uncertainty,Not really,4,N_Vi_V
2025-12-25 12:26:55,2025-12-25 12:53:06,IP Address,100,1571,True,2025-12-25 12:53:06,R_86IdscAJjXOSich,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,63fbd3e8b4865c6e1fb04614,24,Male,Bachelor's degree,Daily,Passive,8,Passive,7,Promoter,9,Verbal,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,NA,Somewhat Agree,Numerical/Percentage,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,NA,Somewhat Agree,Visual/Colour,Somewhat Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,NA,Agree,Yes,Visual mainly due to the format.,Verbal since it is the most reliable for me,Yes as it gives me more ways to align with certain outputs,2,V_Vi_N
2025-12-25 12:21:07,2025-12-25 13:00:29,IP Address,100,2362,True,2025-12-25 13:00:30,R_2FJTsUkXCsBH6q9,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,6914d4778fed31da9478c2cd,36,Male,High School,Daily,Detractor,6,Detractor,3,Passive,7,Verbal,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,This was the certainty that i missed about the first one. It just feels more personaly and safe,Agree,Numerical/Percentage,Neither Agree nor Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,"Never had the % option before, but seems like a good idea to show me, if i should double check my informations.",Strongly Agree,Numerical/Percentage,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,"The Chatbot should be tell me often stuff like ""i think this is the shortest rout"" or ""this could be.."". ",Somewhat Agree,Yes,"I think i would prefer the % Format, since it shows me clearly and fast, if there is a uncertainty and if i should double check my informations","Same here, i would use the % format, simply because i can see fast enough if i can trust the answer.",Yes,5,Vi_V_N
2025-12-25 12:57:54,2025-12-25 13:03:38,IP Address,100,344,True,2025-12-25 13:03:39,R_25vAyv1L0ROodS9,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,6930a0c703b5a741e4d9ea9a,20,Male,High School,Daily,Passive,8,Promoter,9,Passive,8,Verbal,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,,Somewhat Agree,Verbal,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Somewhat Disagree,Somewhat Disagree,,Neither Agree nor Disagree,Verbal,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,,Disagree,Yes,"I prefer color-coded text (e.g., highlighting uncertain parts in yellow or orange). It allows for quick scanning without breaking the flow of reading. As a student, I need to see at a glance which part of a generated explanation or code snippet might be 'hallucinated' or incorrect.","I prefer numerical confidence scores or verbal labels (e.g., 'High Confidence' vs. 'Experimental'). Numbers feel more objective and scientific. Knowing the underlying probability helps me decide whether I can copy-paste a solution for my studies or if I need to double-check the documentation.","Yes, absolutely. It removes the 'black box' feeling. When an AI admits it might be wrong, I trust its 'confident' answers much more. It encourages a critical thinking mindset, which is essential for programming and scientific research, rather than blindly following the AI's output",1,V_N_Vi
2025-12-25 13:30:43,2025-12-25 14:01:05,IP Address,100,1822,True,2025-12-25 14:01:06,R_22DIrYtyyAaQiPq,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,5ebc0abd2cc5f1054c82a0d7,44,Male,High School,Daily,Promoter,9,Detractor,4,Promoter,9,Verbal,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Numerical/Percentage,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,,Strongly Agree,Visual/Colour,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,i dont like this one much to be fair i just dont like the colour system,Strongly Agree,Yes,"i mainly use chatgpt in work as it assists me well and i like the layout,percentage indicators work for me best id say as i can easily make quick decisions with the information.",again id say percentages just because i have a clear sign helping me as i get my information,"yes and no it depends what im using the tools for,work or pleasure",3,N_V_Vi
2025-12-25 14:07:16,2025-12-25 14:24:27,IP Address,100,1031,True,2025-12-25 14:24:28,R_38g0S0EHiL6gr4J,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,67d21364aa4dc87ecd8f3f1b,30,Male,Vocational training,Daily,Promoter,10,Detractor,3,Promoter,10,Verbal,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"The verbal uncertainty cues were clear and easy to understand, but adding a brief standardized indicator (such as a short confidence label) could further improve consistency and comparability across answers.",Agree,Verbal,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"The verbal expression of uncertainty was clear and easy to follow. Including a brief, explicit confidence statement at the end of each response could further improve clarity and help users compare answers across different questions.",Agree,Verbal,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"The uncertainty was communicated clearly through wording and context. It was easy to interpret without additional explanation. A short, explicit confidence indicator could further enhance clarity, especially when comparing answers across different topics.",Agree,Yes,"I would prefer verbal uncertainty indicators because they are easy to understand, require no prior explanation, and fit naturally into the flow of an answer without adding visual or numerical complexity.","I would prefer verbal uncertainty indicators because they allow the assistant to explain limitations and assumptions in context, which feels more transparent and nuanced than a single number or color cue.","Yes, because it helps set realistic expectations, supports better judgment of answers, and reduces the risk of over-reliance on potentially uncertain information.",1,V_N_Vi
2025-12-25 14:23:53,2025-12-25 14:38:21,IP Address,100,868,True,2025-12-25 14:38:22,R_8mhmkff2t53JiVk,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,65e0bee6f886849136294ce0,40,Male,Bachelor's degree,Daily,Passive,7,Detractor,5,Detractor,6,Verbal,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Somewhat Disagree,Numerical/Percentage,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,,Strongly Agree,Visual/Colour,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,,Neither Agree nor Disagree,Yes,I would prefer percentage beacaue it gives me the information the quickest way,The Percentage was the most intuitiv represantation,Yes it would because then i can compare the answers better,4,N_Vi_V
2025-12-25 15:11:20,2025-12-25 15:39:44,IP Address,100,1703,True,2025-12-25 15:39:44,R_3fIhZsXDTTn4TSA,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,694b06297a22368d5c7995eb,44,Male,High School,Daily,Detractor,6,Detractor,6,Detractor,5,Verbal,Strongly Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,The ETF statement from the LLC didn't feel uncertain to me.,Strongly Agree,Numerical/Percentage,Somewhat Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,I like the fact it does not give you a false positive and requires you to do further thinking so you don't put all your trust into the LLM.,Somewhat Disagree,Visual/Colour,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,The colors of uncertainty are more pleasant and easier on the easy than the numbers.,Strongly Agree,Yes,"The visual/color indicator, it's easier on the eyes and simple and quick. Red, yellow, green, no thinking involved.","For trustworthiness, I'd need the percent numbers, something for directions can't be trusted with colors.","Yes they do, I'd know the LLM is not being overconfident and I need to do a little more research.",3,N_V_Vi
2025-12-25 16:19:09,2025-12-25 16:40:17,IP Address,100,1268,True,2025-12-25 16:40:17,R_8B3g4H2w5hYy8ZL,anonymous,EN-GB,"Yes, I agree",Three versions; the uncertainty is shown in different formats,65d2157313d9c8026aa915c7,36,Male,Bachelor's degree,Several times a week,Passive,7,Passive,8,Detractor,4,Verbal,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,The verbal form is uncertain if not mention when it is certain somehow.,Agree,Numerical/Percentage,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,,Agree,Visual/Colour,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The colors are more vague and better to interpret as numbers.,Strongly Agree,Yes,Colors,Colors,Somehow not if certain answers are not mentioned.,4,N_Vi_V
